Author,Title,Date_Finished
Keith Miles,We'll Meet Again...,7.1.18
David Butler ,We'll Meet Again... The End Of An Era,13.1.18
Keith Stuart,A Boy Made Of Blocks,25.1.18
Ruth Hogan ,The Keeper Of Lost Things,15.2.18
Joanna Cannon ,The Trouble With Goats And Sheep ,23.3.18
Harry Bowling ,Down Milldyke Way,28.3.18
Sheila O'Flanagan,Bad Behaviour ,15.4.18
Louis Sachar ,Holes ,18.4.18
Wendy Holden,Azur Like It,21.4.18
Linda Fairley ,Bundles Of Joy,30.4.18
Gail Honeyman ,Eleanor Oliphant Is Completely Fine ,4.5.18
Susanna Kearsley,The Shadowy Horses ,10.5.18
Bill Cullen,It's A Long Way From Penny Apples,17.5.18
Carol Rivers ,A Wartime Christmas ,22.5.18
Tilly Bagshawe,Do Not Disturb ,3.6.18
Freya North ,Chloe,12.6.18
Josephine Cox,Let It Shine ,15.6.18
Donna Douglas,A Nightingale Christmas Wish ,19.6.18
Erica James,Gardens Of Delight ,21.6.18
Erica James ,Paradise House ,25.6.18
Jackie Collins ,Goddess Of Vengeance,1.7.18
Ellie Dean ,Keep Smiling Through,5.7.18
Jodi Picoult ,Harvesting The Heart ,11.7.18
Charlotte Bingham ,The White Marriage ,12.7.18
Sarah Morgan,How To Keep A Secret,14.7.18
Celeste Ng ,Little Fires Everywhere,17.7.18
Lucy Diamond,On A Beautiful Day,22.7.18
Rosanna Ley ,Her Mother's Secret ,28.7.18
Freya North,Sally,5.8.18
Elizabeth Buchan ,The Second Wife ,10.8.18
Jojo Moyes,The Last Letter From Your Lover,22.8.18
Libby Purves,Love Songs And Lies,31.8.18
Freya North,Polly,14.9.18
Katie Fforde ,Recipe For Love,16.9.18
Danielle Steel,The Klone And I,4.10.18
Christina Henry,The Mermaid,10.10.18
Danielle Steel,Special Delivery ,14.10.18
Heather Morris,The Tattooist Of Auschwitz,1.11.18
Dan Brown,The Lost Symbol,8.11.18
Various,Things I Wish I'd Known,9.11.18
Lynda La Plante ,Widows,21.11.18
Susan Lewis,No Child Of Mine ,25.11.18
Trisha Merry ,Four Waifs On Our Doorstep,2.12.18
Louise Bagshawe ,Desire,16.12.18
