Author,Title,Date Finished
Christy Lefteri,"A Watermelon, A Fish And A Bible",1.1.21
Emma Murray,Time Out,2.1.21
Lisa Jewell,The Family Upstairs,7.1.21
Clare Clark,In The Full Light Of The Sun,12.1.21
Hanna Jameson,The Last,17.1.21
Ben Aaronovitch ,Rivers Of London ,20.1.21
Curtis Sittenfeld ,Sisterland,22.1.21
Ben Aaronovitch ,Moon Over Soho,25.1.21
Ben Aaronovitch,Whispers Underground,30.1.21
Ben Aaronovitch ,Broken Homes,6.2.21
Ben Aaronovitch ,Foxglove Summer,10.2.21
Ben Aaronovitch ,The Hanging Tree,14.2.21
Cecelia Ahern,Postscript,18.2.21
Karen Thompson Walker,The Age Of Miracles ,25.2.21
Vaddey Ratner ,In The Shadow Of The Banyan ,5.3.21
Stacey Halls,The Familiars ,8.3.21
Teresa Driscoll,I Am Watching You,11.3.21
Dawn O'Porter,Paper Aeroplanes,13.3.21
Dawn O'Porter,So Lucky,15.3.21
Elisabeth Hyde,Crazy As Chocolate,19.3.21
Johanna Bell,The Bobby Girls,26.3.21
Johanna Bell,The Bobby Girls' Secrets,1.4.21
Julia Quinn,Bridgerton: The Duke & I ,5.4.21
